employee_id,age,gender,education_level,department,years_experience,training_hours,last_performance_rating,avg_monthly_hours,salary_level,promotion_last_5years,work_life_balance,overtime,performance_score,performance_category
1001,50,Male,High School,Marketing,21,62,5,269,Low,0,3,No,100.0,High Performer
1002,36,Female,Master,Marketing,8,46,2,200,Low,1,3,Yes,63.7,Solid Performer
1003,29,Male,Bachelor,HR,22,18,1,227,High,0,4,No,90.8,High Performer
1004,42,Female,High School,Sales,12,24,4,207,Medium,0,3,Yes,77.1,High Performer
1005,40,Other,Bachelor,IT,22,12,4,266,Low,0,2,No,91.8,High Performer
1006,44,Female,High School,Finance,17,102,2,161,Low,0,3,No,100.0,High Performer
1007,32,Male,Bachelor,HR,10,79,5,221,High,0,3,No,100.0,High Performer
1008,32,Female,Bachelor,Finance,14,26,4,268,Medium,0,2,No,80.1,High Performer
1009,45,Female,Bachelor,Finance,24,35,4,169,Medium,0,4,No,100.0,High Performer
1010,57,Male,Bachelor,Operations,24,30,5,265,Medium,1,3,Yes,100.0,High Performer
1011,45,Female,Bachelor,Operations,21,81,1,236,Medium,0,4,No,100.0,High Performer
1012,24,Male,Master,Operations,18,30,4,163,High,0,3,No,83.7,High Performer
1013,43,Female,High School,HR,0,20,3,153,Low,0,3,No,49.7,Needs Improvement
1014,23,Male,Master,Finance,3,47,4,175,Medium,0,3,No,74.8,High Performer
1015,45,Male,Master,Sales,13,81,1,163,High,0,3,No,80.9,High Performer
1016,51,Male,Bachelor,IT,13,115,1,234,Low,0,3,Yes,87.6,High Performer
1017,59,Female,Bachelor,Operations,2,97,2,194,Medium,1,4,No,88.7,High Performer
1018,23,Male,Master,Operations,16,44,3,163,Medium,0,3,Yes,87.3,High Performer
1019,42,Female,High School,Finance,2,23,1,165,Medium,0,4,No,44.1,Needs Improvement
1020,54,Male,High School,Finance,15,23,5,219,Medium,1,4,No,100.0,High Performer
1021,33,Male,Bachelor,HR,13,19,3,204,Medium,0,4,Yes,74.7,High Performer
1022,43,Female,Master,HR,19,21,3,214,Medium,0,3,No,91.7,High Performer
1023,46,Female,High School,Operations,12,47,5,182,Medium,0,3,No,98.3,High Performer
1024,48,Male,Bachelor,Finance,14,117,4,168,Medium,0,2,No,100.0,High Performer
1025,49,Female,PhD,Sales,13,119,5,220,Low,0,3,Yes,100.0,High Performer
